"concept_id","concept_name","concept_code","vocabulary_id","pcornet_vocabulary_id","category","ingredient"
2012876,"telmisartan 80 MG Oral Tablet [NT-TELMI]","OMOP4966245","RxNorm Extension","RX","arb","telmisartan"
42930467,"Amlodipine / telmisartan Oral Tablet [TELMIAM]","OMOP4657230","RxNorm Extension","RX","arb","telmisartan"
40947500,"Losartan 50 MG Delayed Release Oral Tablet [Cozaar] Box of 56 by Kohlpharma","OMOP2145462","RxNorm Extension","RX","arb","losartan"
36092482,"losartan potassium 50 MG Oral Tablet","68071517509","NDC","ND","arb","losartan"
40969134,"irbesartan 75 MG Oral Tablet [Aprovel] Box of 56","OMOP2167096","RxNorm Extension","RX","arb","irbesartan"
36495258,"losartan potassium 100mg/1 ORAL TABLET","680714141","NDC","ND","arb","losartan"
44410758,"hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet","43547039203","NDC","ND","arb","olmesartan"
35156865,"telmisartan 20 MG Oral Tablet by Fujifilm","OMOP4813873","RxNorm Extension","RX","arb","telmisartan"
41012308,"candesartan 32 MG Oral Tablet [Candesartancilexetil Ct] Box of 56 by AbZ-Pharma","OMOP2210270","RxNorm Extension","RX","arb","candesartan"
41135803,"Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet Box of 56 by Puren","OMOP2333765","RxNorm Extension","RX","arb","losartan"
35748124,"valsartan 40 MG Delayed Release Oral Tablet by Macleods","OMOP2749585","RxNorm Extension","RX","arb","valsartan"
44100580,"valsartan 320 MG Oral Tablet by Pro Doc Limitee","OMOP1095211","RxNorm Extension","RX","arb","valsartan"
44429131,"amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet","13668038505","NDC","ND","arb","olmesartan"
45285817,"losartan potassium 50 mg/1 TABLET, FILM COATED [LOSARTAN POTASSIUM]","042571111","NDC","ND","arb","losartan"
45850610,"losartan potassium 100mg/1 ORAL TABLET, FILM COATED","658410731","NDC","ND","arb","losartan"
2063371,"amlodipine 5 MG / losartan 45.8 MG [MAXSARTAN]","OMOP4964616","RxNorm Extension","RX","arb","losartan"
35133890,"Losartan 25 MG Oral Tablet by BioMedix","OMOP4791096","RxNorm Extension","RX","arb","losartan"
43732471,"olmesartan 40 MG Oral Tablet [Olmesartan-Ratiopharm] by Ratiopharm","OMOP699726","RxNorm Extension","RX","arb","olmesartan"
43768320,"irbesartan 150 MG Oral Tablet [Irbesartan-Hormosan]","OMOP698483","RxNorm Extension","RX","arb","irbesartan"
40882438,"valsartan 160 MG Oral Tablet [Diovan] Box of 98 by Orifarm Leverkus","OMOP2080400","RxNorm Extension","RX","arb","valsartan"
45851002,"irbesartan and hydrochlorothiazide 300mg/1 / 12.5mg/1 ORAL TABLET, FILM COATED","658620630","NDC","ND","arb","irbesartan"
43155928,"Hydrochlorothiazide 12.5 MG / valsartan 80 MG Delayed Release Oral Tablet [VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS] Box of 90 by Cristers","OMOP511283","RxNorm Extension","RX","arb","valsartan"
45219090,"irbesartan 150 MG Oral Tablet [Avapro]","12280006390","NDC","ND","arb","irbesartan"
44918237,"telmisartan and hydrochlorothiazide 40mg/1 / 12.5mg/1 ORAL TABLET","548685418","NDC","ND","arb","telmisartan"
2059565,"losartan 45.8 MG Oral Tablet by Syntex","OMOP4960651","RxNorm Extension","RX","arb","losartan"
40069686,"olmesartan Oral Tablet","378991","RxNorm","RX","arb","olmesartan"
44073368,"Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [Ratio-Irbesartan]","OMOP1067999","RxNorm Extension","RX","arb","irbesartan"
43623899,"Losartan 50 MG [Losartan Hetero]","OMOP691742","RxNorm Extension","RX","arb","losartan"
45098756,"Valsartan and Hydrochlorothiazide 25; 320 mg/1; mg/1 TABLET, FILM COATED [Valsartan and Hydrochlorothiazide]","065862551","NDC","ND","arb","valsartan"
44419801,"losartan potassium 50 MG Oral Tablet","68071301403","NDC","ND","arb","losartan"
45327583,"losartan potassium 100 MG Oral Tablet [Cozaar]","55289023830","NDC","ND","arb","losartan"
44128042,"Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [Ratio-Irbesartan] by TEVA","OMOP1122673","RxNorm Extension","RX","arb","irbesartan"
2064769,"amlodipine 10 MG / telmisartan 40 MG Oral Tablet [TWYN DOWN] by Mothers","OMOP4966066","RxNorm Extension","RX","arb","telmisartan"
